task_id	description	slice_id	fixture_disposition	test_cases	test_locations	rationale	remaining_gap
MP-A09	`Point`、`Circle`、`Rect`、`Quad` 的构造、属性和 `contains` 边界	MP-A09-GEOMETRY-SCALARS	ADDED_EXISTING_FIXTURE_TEST	geometry facades preserve type-only defaults and initialized shared getters	tests/unit-tests/plugins/motionplayer-dll.cpp:22410	A stable boundary was expressible with the existing motionplayer unit-test TU and no new material	Deliberately uninitialized coordinates remain unasserted; formal unit execution is MP-V07
MP-A09	`Point`、`Circle`、`Rect`、`Quad` 的构造、属性和 `contains` 边界	MP-B03-GEOMETRY-CONTAINS	REUSED_EXISTING_FIXTURE	geometry facades preserve type-only defaults and initialized shared getters; Geometry contains rejects unordered rect bounds and keeps native quad direction	tests/unit-tests/plugins/motionplayer-dll.cpp:22410; tests/unit-tests/plugins/motionplayer-dll.cpp:22475	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A10	`LayerGetter` 的完整只读属性表、Variant/Array 返回所有权	MP-A10-LAYERGETTER-REG	REUSED_EXISTING_FIXTURE	Motion.LayerGetter NCB constructor publishes only the null-node facade; LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:15990; tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A10	`LayerGetter` 的完整只读属性表、Variant/Array 返回所有权	MP-A10-LAYERGETTER-SCALARS	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A10	`LayerGetter` 的完整只读属性表、Variant/Array 返回所有权	MP-A10-LAYERGETTER-ARRAYS	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A10	`LayerGetter` 的完整只读属性表、Variant/Array 返回所有权	MP-L10-LAYERGETTER-VTX	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A10	`LayerGetter` 的完整只读属性表、Variant/Array 返回所有权	MP-L10-LAYERGETTER-SHAPE	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade; shape anchors resolve through LayerGetter rather than child motion	tests/unit-tests/plugins/motionplayer-dll.cpp:14108; tests/unit-tests/plugins/motionplayer-dll.cpp:14278	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A10	`LayerGetter` 的完整只读属性表、Variant/Array 返回所有权	MP-L10-LAYERGETTER-MOTION-PARTICLE	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade; recursive layer lookup repeats particle child zero	tests/unit-tests/plugins/motionplayer-dll.cpp:14108; tests/unit-tests/plugins/motionplayer-dll.cpp:14325	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A12	`D3DAdaptor` 的公开方法、属性、画布捕获和纹理缓存入口	MP-A14-D3DADAPTOR-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.D3DAdaptor NCB factory and typed nullsubs preserve exact arity; D3DAdaptor constructor follows the four-reference boundary	tests/unit-tests/plugins/motionplayer-dll.cpp:10185; tests/unit-tests/plugins/motionplayer-dll.cpp:8069	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A13	`ResourceManager` 的 load/unload/find/cache/layer-id API	MP-A13-RESOURCEMANAGER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.ResourceManager NCB constructor preserves sentinel and arity boundaries; motionplayer resource chain and query surface	tests/unit-tests/plugins/motionplayer-dll.cpp:15755; tests/unit-tests/plugins/motionplayer-dll.cpp:25778	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A13	`ResourceManager` 的 load/unload/find/cache/layer-id API	MP-C13-RESOURCE-UNLOAD-SINGLE-NODE	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A13	`ResourceManager` 的 load/unload/find/cache/layer-id API	MP-C13-RESOURCE-UNLOADALL-MAP-CLEAR	REUSED_EXISTING_FIXTURE	motionplayer resource chain and query surface; ResourceManager caches raw holders and returns fresh dispatches	tests/unit-tests/plugins/motionplayer-dll.cpp:25778; tests/unit-tests/plugins/motionplayer-dll.cpp:27422	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A14	`Motion` 类常量、静态入口、工厂以及命名空间层级	MP-A14-REG-01	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction	tests/unit-tests/plugins/motionplayer-dll.cpp:14971	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A15	默认配置、`resourceManager`、时间和 `variableKeys`，约 #1–#6	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A16	`chara`、`motion`、stealth 槽、tags、project、completion/preview/priorDraw，约 #7–#17	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A16	`chara`、`motion`、stealth 槽、tags、project、completion/preview/priorDraw，约 #7–#17	MP-A11-PLAYER-DIRECT-14-20	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player root modified query reads the root delta dirty byte	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:31586	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A17	mesh、speed、sync、tick、camera、outline、mask、color、transform 配置，约 #18–#45	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A17	mesh、speed、sync、tick、camera、outline、mask、color、transform 配置，约 #18–#45	MP-A11-PLAYER-DIRECT-STATE	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player outsideFactor and speed preserve raw typed-property doubles	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:32023	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A17	mesh、speed、sync、tick、camera、outline、mask、color、transform 配置，约 #18–#45	MP-D11-PLAYER-PROCESSED-MESH	REUSED_EXISTING_FIXTURE	updateLayers consumes parameter mode for one update only; updateLayers publishes all-node position deltas before phase 3	tests/unit-tests/plugins/motionplayer-dll.cpp:32515; tests/unit-tests/plugins/motionplayer-dll.cpp:32598	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A18	坐标、flip、opacity、visible、slant、zoom、D3D 和 pixelate，约 #46–#65	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A18	坐标、flip、opacity、visible、slant、zoom、D3D 和 pixelate，约 #46–#65	MP-A11-PLAYER-ROOT-FLAGS	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player independentLayerInherit public setter dirties without committing	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:31666	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A19	variable、play/progress/clear/stop/draw 的 raw/typed wrapper，约 #66–#79	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A20	contains、view、command/layer 查询、sync/action callbacks、motion 查找，约 #80–#92	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A20	contains、view、command/layer 查询、sync/action callbacks、motion 查找，约 #80–#92	MP-D10-LAYERGETTER-ONE	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A20	contains、view、command/layer 查询、sync/action callbacks、motion 查找，约 #80–#92	MP-D10-LAYERGETTER-LIST	REUSED_EXISTING_FIXTURE	LayerGetter is a live non-owning MotionNode facade	tests/unit-tests/plugins/motionplayer-dll.cpp:14108	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A21	`Player` 构造包装：参数数量、默认值、receiver、native-instance publication 和失败回滚	MP-L11-PLAYER-CTOR	REUSED_EXISTING_FIXTURE	Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A21	`Player` 构造包装：参数数量、默认值、receiver、native-instance publication 和失败回滚	MP-C18-PLAYER-NATIVE-CTOR-DTOR-OWNER-LEDGER	REUSED_EXISTING_FIXTURE	Player resourceManager keeps three owners and a read-only canonical alias; MotionNode value construction preserves native zero defaults	tests/unit-tests/plugins/motionplayer-dll.cpp:15456; tests/unit-tests/plugins/motionplayer-dll.cpp:19786	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A22	`Player` 所有属性 setter 的精确 TJS 状态返回、Void/Null 转换和异常前缀	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A22	`Player` 所有属性 setter 的精确 TJS 状态返回、Void/Null 转换和异常前缀	MP-A11-PLAYER-DIRECT-14-20	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player root modified query reads the root delta dirty byte	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:31586	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A22	`Player` 所有属性 setter 的精确 TJS 状态返回、Void/Null 转换和异常前缀	MP-A11-PLAYER-DIRECT-STATE	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player outsideFactor and speed preserve raw typed-property doubles	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:32023	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A22	`Player` 所有属性 setter 的精确 TJS 状态返回、Void/Null 转换和异常前缀	MP-A11-PLAYER-ROOT-FLAGS	REUSED_EXISTING_FIXTURE	Player completion, mask, and preview properties preserve native scalar boundaries; Player independentLayerInherit public setter dirties without committing	tests/unit-tests/plugins/motionplayer-dll.cpp:31596; tests/unit-tests/plugins/motionplayer-dll.cpp:31666	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A23	`Player` raw callback 的 `objthis`、`result`、arity、hint、临时 Variant 生命周期	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A24	progress/draw/pass/play/clear/contains/wind 基础入口	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A25	setVariable/setCoord/setScale/setRotate/setColor/setOuterForce 兼容 callback	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A26	motion/project/mask/mesh/outline/priorDraw 和时间/边界属性	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A27	camera offset、root modify、hair/parts/bust scale	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A28	debug/queuing/directEdit/selector 和 `variableKeys`	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A29	controller、timeline、variable range/frame list、command list 后半表面	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A30	`D3DEmotePlayer` 独立类层级、typed factory、clone 和原版故意保留的 TODO 行为	MP-A30-D3DEMOTEPLAYER-SURFACE-FACTORY-CLONE-TODO	REUSED_EXISTING_FIXTURE	D3DEmotePlayer methods keep four-reference TODO boundaries; D3DEmotePlayer typed factory and clone preserve D3DLayer boundary; D3DEmotePlayer typed members preserve generated receiver and arity gates	tests/unit-tests/plugins/motionplayer-dll.cpp:27535; tests/unit-tests/plugins/motionplayer-dll.cpp:27592; tests/unit-tests/plugins/motionplayer-dll.cpp:27747	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A32	四端所有注册字符串、精确大小写、默认参数和绑定目标最终对账	MP-A32-REGISTRATION-STRINGS-ARGUMENTS-BINDINGS	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; DrawDeviceD3D exposes the seven-class reference surface; Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; D3DEmoteModule zero-argument constructor accepts surplus and preserves the exact Void sentinel	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:8782; tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:15401	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-L01	`Player` 构造函数：成员初始化顺序、默认值、故意未初始化字段	MP-C18-PLAYER-NATIVE-CTOR-DTOR-OWNER-LEDGER	REUSED_EXISTING_FIXTURE	Player resourceManager keeps three owners and a read-only canonical alias; MotionNode value construction preserves native zero defaults	tests/unit-tests/plugins/motionplayer-dll.cpp:15456; tests/unit-tests/plugins/motionplayer-dll.cpp:19786	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
