symbol	occurrences	files	first_location	disposition	binary_name_evidence	evidence_reports	action
D3DSourceTextureGetter_guess	5	cpp/plugins/motionplayer/Player.h; cpp/plugins/motionplayer/PlayerRenderTargets.cpp	cpp/plugins/motionplayer/Player.h:52	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
D3DTargetTextureGetter_guess	7	cpp/plugins/motionplayer/Player.h; cpp/plugins/motionplayer/PlayerRenderTargets.cpp	cpp/plugins/motionplayer/Player.h:50	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_d3d_deep_renderer_batch_stencil_four_binary_2026-08-27.md	retain
D3DTargetTexturePair_guess	4	cpp/plugins/motionplayer/Player.h; cpp/plugins/motionplayer/PlayerRenderTargets.cpp	cpp/plugins/motionplayer/Player.h:48	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_d3d_deep_renderer_batch_stencil_four_binary_2026-08-27.md	retain
DispatchReference_guess	4	cpp/plugins/motionplayer/MotionLayerExtensions.cpp	cpp/plugins/motionplayer/MotionLayerExtensions.cpp:33	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
DispatchReleaseGuard_guess	36	cpp/plugins/motionplayer/PlayerCore.cpp; cpp/plugins/motionplayer/PlayerRender.cpp; cpp/plugins/motionplayer/PlayerRenderExecute.cpp; cpp/plugins/motionplayer/PlayerRenderTargets.cpp; cpp/plugins/motionplayer/SeparateLayerAdaptor.cpp	cpp/plugins/motionplayer/PlayerCore.cpp:20	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
DispatchRelease_guess	4	cpp/plugins/motionplayer/PlayerRenderItems.cpp; cpp/plugins/motionplayer/PlayerResource.cpp	cpp/plugins/motionplayer/PlayerRenderItems.cpp:25	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
DormantRecord64_guess	3	cpp/plugins/motionplayer/MotionNode.h	cpp/plugins/motionplayer/MotionNode.h:208	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_motionnode_source_order_four_binary_2026-08-27.md	retain
DrawDeviceObjectBasePrimary_guess	9	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:199	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteAngleController_setTarget_guess	5	cpp/plugins/motionplayer/EmoteAngleController.cpp; cpp/plugins/motionplayer/EmoteAngleController.h; cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmotePlayer.cpp	cpp/plugins/motionplayer/EmoteAngleController.cpp:82	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteBlinkController_enqueueValue_guess	3	cpp/plugins/motionplayer/EmoteBlinkController.cpp; cpp/plugins/motionplayer/EmoteBlinkController.h; cpp/plugins/motionplayer/EmoteEngine.cpp	cpp/plugins/motionplayer/EmoteBlinkController.cpp:125	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteBlinkController_reset_guess	3	cpp/plugins/motionplayer/EmoteBlinkController.cpp; cpp/plugins/motionplayer/EmoteBlinkController.h; cpp/plugins/motionplayer/EmoteEngine.cpp	cpp/plugins/motionplayer/EmoteBlinkController.cpp:311	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteBlinkRng_getGlobal_guess	6	cpp/plugins/motionplayer/EmoteBlinkController.cpp; cpp/plugins/motionplayer/EmoteBlinkRng.cpp; cpp/plugins/motionplayer/EmoteBlinkRng.h; cpp/plugins/motionplayer/EmoteWindEmitter.cpp	cpp/plugins/motionplayer/EmoteBlinkController.cpp:84	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteBlinkRng_nextCanonical_guess	6	cpp/plugins/motionplayer/EmoteBlinkController.cpp; cpp/plugins/motionplayer/EmoteBlinkRng.cpp; cpp/plugins/motionplayer/EmoteBlinkRng.h; cpp/plugins/motionplayer/EmoteWindEmitter.cpp	cpp/plugins/motionplayer/EmoteBlinkController.cpp:83	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteBustChainSpring_postBend_guess	4	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteSpring.cpp; cpp/plugins/motionplayer/EmoteSpring.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1730	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteBustChainSpring_step_guess	4	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteSpring.cpp; cpp/plugins/motionplayer/EmoteSpring.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1725	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteEyebrowController_enqueueValue_guess	3	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteEyebrowController.cpp; cpp/plugins/motionplayer/EmoteEyebrowController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:2623	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteEyebrowController_reset_guess	3	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteEyebrowController.cpp; cpp/plugins/motionplayer/EmoteEyebrowController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1270	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteLoopController_step_guess	3	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteLoopController.cpp; cpp/plugins/motionplayer/EmoteLoopController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:3900	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteMeshResolver_resolve_guess	4	cpp/plugins/motionplayer/EmoteBlinkController.cpp; cpp/plugins/motionplayer/EmoteEyebrowController.cpp; cpp/plugins/motionplayer/EmoteMeshResolver.cpp; cpp/plugins/motionplayer/EmoteMeshResolver.h	cpp/plugins/motionplayer/EmoteBlinkController.cpp:192	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteMeshResolver_search_guess	2	cpp/plugins/motionplayer/EmoteMeshResolver.cpp	cpp/plugins/motionplayer/EmoteMeshResolver.cpp:132	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteMouthController_setTarget_guess	3	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteMouthController.cpp; cpp/plugins/motionplayer/EmoteMouthController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:2644	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmotePhysics_springStep_guess	4	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteSpring.cpp; cpp/plugins/motionplayer/EmoteSpring.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1652	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteSelectorCommandTrack_guess	2	cpp/plugins/motionplayer/EmoteSelectorController.h	cpp/plugins/motionplayer/EmoteSelectorController.h:19	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteSelectorController_enqueue_guess	3	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteSelectorController.cpp; cpp/plugins/motionplayer/EmoteSelectorController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:2677	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteSelectorController_reset_guess	3	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteSelectorController.cpp; cpp/plugins/motionplayer/EmoteSelectorController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1284	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteSelectorOption_guess	7	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteSelectorController.cpp; cpp/plugins/motionplayer/EmoteSelectorController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1930	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteVarController_reset_guess	10	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmoteVarController.cpp; cpp/plugins/motionplayer/EmoteVarController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:1236	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteVarController_setTarget_guess	21	cpp/plugins/motionplayer/EmoteEngine.cpp; cpp/plugins/motionplayer/EmotePlayer.cpp; cpp/plugins/motionplayer/EmoteSelectorController.cpp; cpp/plugins/motionplayer/EmoteVarController.cpp; cpp/plugins/motionplayer/EmoteVarController.h	cpp/plugins/motionplayer/EmoteEngine.cpp:841	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
EmoteWindEmitter_lookupForce_guess	3	cpp/plugins/motionplayer/EmoteSpring.cpp; cpp/plugins/motionplayer/EmoteSpring.h	cpp/plugins/motionplayer/EmoteSpring.cpp:103	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
FindParentModule_guess	2	cpp/plugins/DrawDeviceD3D.cpp; cpp/plugins/motionplayer/EmotePlayer.cpp	cpp/plugins/DrawDeviceD3D.cpp:811	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
FrontItemLess_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:209	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
FrontItemSet_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:223	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
GeometryShapeBase_guess	15	cpp/plugins/motionplayer/SourceCache.h	cpp/plugins/motionplayer/SourceCache.h:176	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_geometry_default_constructors_four_binary_2026-08-26.md; analysis/motionplayer_geometry_scalar_getters_four_binary_2026-08-26.md	retain
GetDrawTexture_guess	3	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:907	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
GetFile_guess	2	cpp/plugins/motionplayer/ResourceManager.cpp	cpp/plugins/motionplayer/ResourceManager.cpp:624	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ImageRangeTail_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:1511	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
IncrementalStreamObservationForDifferentialTest_guess	2	cpp/plugins/motionplayer/Player.h	cpp/plugins/motionplayer/Player.h:907	TEST_ONLY_LOCAL_LABEL	Unregistered test seam; not a claimed reference source identifier		retain
InitialHeight_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:247	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
InitialSizePointer_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:245	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
InitialWidth_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:246	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
KrkrAtlasRecord_guess	7	cpp/plugins/motionplayer/PlayerResource.cpp	cpp/plugins/motionplayer/PlayerResource.cpp:184	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_krkr_atlas_imagepacker_four_binary_2026-08-27.md	retain
KrkrAtlasRect_guess	5	cpp/plugins/motionplayer/PlayerResource.cpp	cpp/plugins/motionplayer/PlayerResource.cpp:190	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
MeshSubmitCallback_guess	3	cpp/plugins/motionplayer/MotionRenderBackend.cpp; cpp/plugins/motionplayer/MotionRenderBackend.h	cpp/plugins/motionplayer/MotionRenderBackend.cpp:528	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
MotionLayerExtensions_guess	26	cpp/plugins/motionplayer/MotionLayerExtensions.cpp; cpp/plugins/motionplayer/MotionLayerExtensions.h; cpp/plugins/motionplayer/main.cpp	cpp/plugins/motionplayer/MotionLayerExtensions.cpp:946	PRESERVE_BINDING_LOCAL_LABEL	The script name/binding is four-target evidenced, but the stripped binaries do not expose this local C++ source identifier	analysis/motionplayer_bezier_layer_extensions_ncb_surface_four_binary_2026-08-27.md; analysis/motionplayer_d3dadaptor_ncb_surface_four_binary_2026-08-27.md; analysis/motionplayer_layer_extensions_callbacks_lifetime_render_four_binary_2026-08-27.md; analysis/motionplayer_ncb_equivalence_ledger_2026-08-27.md; analysis/motionplayer_registration_strings_arguments_bindings_final_reconciliation_2026-08-27.md	retain
OnItemsChanged_guess	6	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:326	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
OrderedShapeAxis_guess	2	cpp/plugins/motionplayer/PlayerUpdateLayersInternal.h	cpp/plugins/motionplayer/PlayerUpdateLayersInternal.h:479	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ParentClearColor_guess	4	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:235	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PatchBounds_guess	5	cpp/plugins/motionplayer/MotionLayerExtensions.cpp	cpp/plugins/motionplayer/MotionLayerExtensions.cpp:195	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
Player_buildNodePathKey_guess	1	cpp/plugins/motionplayer/internal/value_structs.h	cpp/plugins/motionplayer/internal/value_structs.h:103	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PointList_guess	29	cpp/plugins/motionplayer/MotionLayerExtensions.cpp	cpp/plugins/motionplayer/MotionLayerExtensions.cpp:20	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PositionDerivativeSampleTimes_guess	2	cpp/plugins/motionplayer/PlayerUpdateLayersInternal.h	cpp/plugins/motionplayer/PlayerUpdateLayersInternal.h:93	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLLRenderItemInput_guess	9	cpp/plugins/motionplayer/PlayerRenderTargets.cpp; cpp/plugins/motionplayer/PrivateMotionGLL.cpp; cpp/plugins/motionplayer/PrivateMotionGLL.h	cpp/plugins/motionplayer/PlayerRenderTargets.cpp:115	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLLRenderItem_guess	16	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:36	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLL_constructor_guess	2	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:396	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLL_getAbsolute_guess	2	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:437	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLL_getVisible_guess	2	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:419	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLL_setAbsolute_guess	2	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:447	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLL_setSize_guess	2	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:405	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
PrivateMotionGLL_setVisible_guess	2	cpp/plugins/motionplayer/PrivateMotionGLL.cpp	cpp/plugins/motionplayer/PrivateMotionGLL.cpp:429	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
RenderTextureDirty_guess	5	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:259	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
RetainedDispatch_guess	6	cpp/plugins/motionplayer/PlayerRenderItems.cpp; cpp/plugins/motionplayer/PlayerResource.cpp	cpp/plugins/motionplayer/PlayerRenderItems.cpp:33	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_player_calc_bounds_four_binary_2026-08-27.md	retain
RetainedVariantDispatch_guess	15	cpp/plugins/motionplayer/PlayerUpdateLayersInternal.h	cpp/plugins/motionplayer/PlayerUpdateLayersInternal.h:374	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
RootReseekObservationForDifferentialTest_guess	2	cpp/plugins/motionplayer/Player.h	cpp/plugins/motionplayer/Player.h:846	TEST_ONLY_LOCAL_LABEL	Unregistered test seam; not a claimed reference source identifier		retain
RootStateByte0_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:256	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
RootStateByte1_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:257	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
RootStateByte2_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:258	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ScaleTail_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:1515	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ScopedParticleArrayDispatch_guess	8	cpp/plugins/motionplayer/MotionNode.h; cpp/plugins/motionplayer/MotionNodeBridge.cpp; cpp/plugins/motionplayer/PlayerLayerQuery.cpp; cpp/plugins/motionplayer/PlayerRenderItems.cpp; cpp/plugins/motionplayer/PlayerUpdateParticles.cpp	cpp/plugins/motionplayer/MotionNode.h:51	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ScopedVariantObjectDispatch_guess	13	cpp/plugins/motionplayer/MotionNode.h; cpp/plugins/motionplayer/MotionNodeBridge.cpp; cpp/plugins/motionplayer/PlayerUpdateParticles.cpp	cpp/plugins/motionplayer/MotionNode.h:34	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ScreenSizePointer_guess	1	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:248	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
